"1,2-Hexanediol",Y
Ammonium bicarbonate,N
Ammonium carbonate,N
Chlorine dioxide,N
Citric acid,Y
Dodecylbenzenesulfonic Acid,Y
Ethanol (Ethyl alcohol),Y
Glutaraldehyde,N
Glycolic acid,N
Hydrochloric acid,N
Hydrogen chloride,N
Hydrogen peroxide,Y
Hypochlorous acid,N
Iodine,N
Isopropanol (Isopropyl alcohol),Y
L-Lactic acid,Y
Octanoic acid,N
Peroxyacetic acid (Peracetic acid),N
Peroxyoctanoic acid,N
Phenolic,N
PHMB,N
Potassium peroxymonosulfate,N
Quaternary ammonium,N
Silver,N
Silver ion,N
Sodium carbonate,Y
Sodium carbonate peroxyhydrate,Y
Sodium chloride,N
Sodium chlorite,N
Sodium dichloroisocyanurate,N
Sodium dichloroisocyanurate dihydrate,N
Sodium hypochlorite,N
Tetraacetyl ethylenediamine,Y
Thymol,Y
Triethylene glycol,N